56.842363; 60.632506
56.841437; 60.631905
56.839993; 60.632695
56.843971; 60.631067
56.837494; 60.633470
56.837590; 60.630719
56.837365; 60.631146
56.836932; 60.629075
56.836759; 60.627321
56.836050; 60.627953
56.833707; 60.628838
56.832176; 60.627795
56.831968; 60.624064
56.831277; 60.619907
56.831683; 60.616840
56.831251; 60.618136
56.830965; 60.615907
56.828777; 60.616903
56.828090; 60.616460
56.827590; 60.616877
56.826383; 60.617017
56.825187; 60.617175
56.824035; 60.618268
56.821588; 60.629257
56.827340; 60.612883
56.820729; 60.619023
56.819326; 60.619659
56.819065; 60.617652
56.819359; 60.618030
56.819913; 60.618328
